filename,speaker
id10001/J9lHsKG98U8/00018.wav,1
id10002/RLKKsYiCMvc/00004.wav,2
id10003/yzIXg93UOIM/00015.wav,3
id10004/SMKC-WLY6F0/00001.wav,4
id10005/PP0cQLwYz5M/00002.wav,5
id10006/3MwyuwaVE50/00010.wav,6
id10007/CzQPAaPrC-E/00010.wav,7
id10008/l8vq6uu_aNE/00002.wav,8
id10009/JntZkGsH2Cc/00001.wav,9
id10010/Fi21gDronE4/00001.wav,10
id10011/QmFNWMU2hKU/00017.wav,11
id10012/nCwwVjPNloY/00006.wav,12
id10013/a3cI12ZNVms/00002.wav,13
id10014/32rU5csGG3U/00002.wav,14
id10015/cnfBsYa5iOM/00002.wav,15
id10016/RREb7K-SoSQ/00010.wav,16
id10017/8rp9UYZp-zA/00012.wav,17
id10018/sci80gk6bUc/00016.wav,18
id10019/IipkRlgAGC0/00001.wav,19
id10020/A_blsQbRRC8/00008.wav,20
id10021/JiqjCNGuH1E/00001.wav,21
id10022/qbHM0g5zCOY/00013.wav,22
id10023/4I4PGPZzUGo/00001.wav,23
id10024/3ViTD7lWXIQ/00007.wav,24
id10025/gs8QSoQoltI/00007.wav,25
id10026/5mucAt4RCJs/00006.wav,26
id10027/ccbXWh4og34/00025.wav,27
id10028/3Xt_-rRgQu8/00009.wav,28
id10029/6gC4DEnwYkY/00001.wav,29
id10030/U7EGzllo8Ts/00004.wav,30
id10031/4nbkpwV-Aa0/00001.wav,31
id10032/QJJyogAg9gE/00001.wav,32
id10033/FGXThGae6kQ/00009.wav,33
id10034/ZLHjGWAWy20/00005.wav,34
id10035/SJz7TqbRv7M/00009.wav,35
id10036/0GgHhOqUrUw/00003.wav,36
id10037/6XsPsxjZXwY/00016.wav,37
id10038/7Gd4Fz2UNxQ/00010.wav,38
id10039/e93OOf47Qak/00013.wav,39
id10040/Svs3h_n1y-8/00001.wav,40
id10041/5g4NwozVJpA/00001.wav,41
id10042/1yc4hUIgyKA/00005.wav,42
id10043/BAPeI1cVhlw/00004.wav,43
id10044/ZqPqpEPFQ1M/00005.wav,44
id10045/FdYLFLTY-5Q/00024.wav,45
id10046/sBae-iHV-ps/00002.wav,46
id10047/GpSk6dLbkGM/00001.wav,47
id10048/CvGFrHmVDeA/00056.wav,48
id10049/mWum6gNAeZE/00005.wav,49
id10050/j_Ojl9vuYdY/00008.wav,50
id10051/RNvpP3RtZPM/00002.wav,51
id10052/x6P4SF9fMUU/00001.wav,52
id10053/whMJs28Tu_s/00008.wav,53
id10054/TvenrEaieP4/00006.wav,54
id10055/Wx0bpIP4VEQ/00005.wav,55
id10056/MKlYNW31HhE/00012.wav,56
id10057/xKWYozNgnRM/00006.wav,57
id10058/MV4B_V28-j8/00001.wav,58
id10059/qM5FO3hHEbk/00011.wav,59
id10060/LQV_TmdoHQY/00001.wav,60
id10061/vynCT-T550U/00006.wav,61
id10062/J_0mv63BdP0/00004.wav,62
id10063/SAKNf4Ihqtc/00009.wav,63
id10064/sRK36oyidyc/00002.wav,64
id10065/KNszBzdnX1E/00006.wav,65
id10066/1MnGXp2M8FM/00013.wav,66
id10067/42Vxg6o0Svs/00002.wav,67
id10068/vqs1ZvoJ4XY/00026.wav,68
id10069/KTzq57aUqI8/00024.wav,69
id10070/bKlWInwTt1I/00008.wav,70
id10071/WPyg-gyziZ0/00003.wav,71
id10072/DjkYU8gcEvM/00005.wav,72
id10073/6S2yZ6SnYLE/00002.wav,73
id10074/K2QHfrmf56k/00040.wav,74
id10075/tqMxPFzRrGA/00001.wav,75
id10076/1z9G7GUIb7s/00002.wav,76
id10077/v-_NT7zmIc0/00006.wav,77
id10078/EOZW9v37FEI/00010.wav,78
id10079/pek5fiJnCMk/00014.wav,79
id10080/6x6ZSpvDezc/00003.wav,80
id10081/1M4q6CQM5pA/00009.wav,81
id10082/FWkA8o6AwB0/00016.wav,82
id10083/ntgkeQhp-0c/00018.wav,83
id10084/gCPufUrdCNo/00010.wav,84
id10085/PYwusDfwXC4/00002.wav,85
id10086/tN8q2rhCDec/00002.wav,86
id10087/YS9RP-SBTXY/00005.wav,87
id10088/cuiG8oXZGJg/00005.wav,88
id10089/8Mig2MYKHQc/00008.wav,89
id10090/XeHHlBNWA1Y/00004.wav,90
id10091/BsIWeyR9uwU/00010.wav,91
id10092/A9Y9c1GI6co/00008.wav,92
id10093/rizTfJ1cY1k/00008.wav,93
id10094/l6k-pbyr11w/00005.wav,94
id10095/y3zf_LF20cU/00007.wav,95
id10096/qMU3f7XiSlE/00003.wav,96
